time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-22 00:00:00+00:00,7,6,34,26
2022-12-23 00:00:00+00:00,7,4,103,28
2022-12-24 00:00:00+00:00,1,1,22,16
2022-12-25 00:00:00+00:00,5,4,14,11
2022-12-26 00:00:00+00:00,3,3,59,29
2022-12-27 00:00:00+00:00,11,9,83,28
2022-12-28 00:00:00+00:00,3,2,79,24
2022-12-29 00:00:00+00:00,6,6,86,24
2022-12-30 00:00:00+00:00,7,7,49,19
2022-12-31 00:00:00+00:00,2,2,30,15
2023-01-01 00:00:00+00:00,4,4,70,11
2023-01-02 00:00:00+00:00,6,4,232,33
2023-01-03 00:00:00+00:00,14,10,179,50
2023-01-04 00:00:00+00:00,13,11,125,36
2023-01-05 00:00:00+00:00,44,30,302,71
2023-01-06 00:00:00+00:00,23,16,168,48
2023-01-07 00:00:00+00:00,6,6,152,38
2023-01-08 00:00:00+00:00,10,8,99,30
2023-01-09 00:00:00+00:00,9,7,95,34
2023-01-10 00:00:00+00:00,15,11,119,43
2023-01-11 00:00:00+00:00,11,10,100,40
2023-01-12 00:00:00+00:00,8,6,108,33
2023-01-13 00:00:00+00:00,5,5,112,35
2023-01-14 00:00:00+00:00,4,4,125,33
2023-01-15 00:00:00+00:00,4,4,95,36
2023-01-16 00:00:00+00:00,16,11,127,47
2023-01-17 00:00:00+00:00,11,8,75,35
2023-01-18 00:00:00+00:00,13,12,200,50
2023-01-19 00:00:00+00:00,5,5,128,26
2023-01-20 00:00:00+00:00,14,8,91,36
2023-01-21 00:00:00+00:00,3,3,129,19
2023-01-22 00:00:00+00:00,7,7,113,32
2023-01-23 00:00:00+00:00,9,8,96,26
2023-01-24 00:00:00+00:00,12,10,103,29
2023-01-25 00:00:00+00:00,5,3,48,22
2023-01-26 00:00:00+00:00,14,7,51,27
2023-01-27 00:00:00+00:00,7,4,137,30
2023-01-28 00:00:00+00:00,9,6,59,29
2023-01-29 00:00:00+00:00,18,13,123,46
2023-01-30 00:00:00+00:00,15,12,120,39
2023-01-31 00:00:00+00:00,7,5,91,40
2023-02-01 00:00:00+00:00,14,12,99,44
2023-02-02 00:00:00+00:00,21,13,109,47
2023-02-03 00:00:00+00:00,8,6,75,28
2023-02-04 00:00:00+00:00,7,5,73,23
2023-02-05 00:00:00+00:00,8,7,47,24
2023-02-06 00:00:00+00:00,7,7,173,36
2023-02-07 00:00:00+00:00,10,9,126,36
2023-02-08 00:00:00+00:00,16,12,130,41
2023-02-09 00:00:00+00:00,28,12,92,34
2023-02-10 00:00:00+00:00,8,6,131,46
2023-02-11 00:00:00+00:00,16,7,96,30
2023-02-12 00:00:00+00:00,3,3,264,35
2023-02-13 00:00:00+00:00,15,12,160,50
2023-02-14 00:00:00+00:00,12,6,138,38
2023-02-15 00:00:00+00:00,7,7,92,30
